ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Manage stock?,Regular price,Sale price,Categories,Tags,Parent,Position,Meta: total_sales,Meta: annee_creation,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Brands
,variable,SNK-1,Adidas Forum High,1,0,visible,,"Inspirée d'un héritage sportif classique, cette paire revisite les codes iconiques.
La rencontre de la matière et du style
Confectionnée en daim et mesh technique, elle offre souplesse et maintien.

Ultra-confort
Amorti renforcé par une mousse technique pour une sensation de douceur à chaque pas.

Adhérence antidérapante
Dessus caoutchouté avec motifs adhérents pour une accroche sûre au quotidien.

Détails du produit
- Fermeture à lacets classique
- Logo de la marque sur la languette
- Doublure textile respirante",taxable,,1,,,,,,,Enfant,Adidas,,,,,Couleur,Rouge|Rose|Vert,1,0,,Taille,36|37|38|39|40|41|42|43|44|45|46|47,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-36,,1,0,hidden,,,taxable,,1,47,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,36,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-37,,1,0,hidden,,,taxable,,1,49,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,37,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-38,,1,0,hidden,,,taxable,,1,39,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,38,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-39,,1,0,hidden,,,taxable,,1,85,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,39,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-40,,1,0,hidden,,,taxable,,1,38,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,40,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-41,,1,0,hidden,,,taxable,,1,52,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,41,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-42,,1,0,hidden,,,taxable,,1,51,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,42,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-43,,1,0,hidden,,,taxable,,1,56,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,43,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-44,,1,0,hidden,,,taxable,,1,69,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,44,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-45,,1,0,hidden,,,taxable,,1,23,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,45,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-46,,1,0,hidden,,,taxable,,1,22,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,46,1,0,,,,,,,Adidas
,variation,SNK-1-ROUG-47,,1,0,hidden,,,taxable,,1,94,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rouge,1,0,,Taille,47,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-36,,1,0,hidden,,,taxable,,1,65,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,36,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-37,,1,0,hidden,,,taxable,,1,83,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,37,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-38,,1,0,hidden,,,taxable,,1,46,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,38,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-39,,1,0,hidden,,,taxable,,1,92,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,39,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-40,,1,0,hidden,,,taxable,,1,59,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,40,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-41,,1,0,hidden,,,taxable,,1,39,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,41,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-42,,1,0,hidden,,,taxable,,1,31,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,42,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-43,,1,0,hidden,,,taxable,,1,95,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,43,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-44,,1,0,hidden,,,taxable,,1,95,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,44,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-45,,1,0,hidden,,,taxable,,1,82,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,45,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-46,,1,0,hidden,,,taxable,,1,51,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,46,1,0,,,,,,,Adidas
,variation,SNK-1-ROSE-47,,1,0,hidden,,,taxable,,1,87,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Rose,1,0,,Taille,47,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-36,,1,0,hidden,,,taxable,,1,64,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,36,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-37,,1,0,hidden,,,taxable,,1,41,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,37,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-38,,1,0,hidden,,,taxable,,1,27,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,38,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-39,,1,0,hidden,,,taxable,,1,45,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,39,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-40,,1,0,hidden,,,taxable,,1,37,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,40,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-41,,1,0,hidden,,,taxable,,1,92,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,41,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-42,,1,0,hidden,,,taxable,,1,47,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,42,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-43,,1,0,hidden,,,taxable,,1,99,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,43,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-44,,1,0,hidden,,,taxable,,1,81,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,44,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-45,,1,0,hidden,,,taxable,,1,34,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,45,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-46,,1,0,hidden,,,taxable,,1,99,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,46,1,0,,,,,,,Adidas
,variation,SNK-1-VERT-47,,1,0,hidden,,,taxable,,1,89,,,,120,,Enfant,Adidas,SNK-1,,,,Couleur,Vert,1,0,,Taille,47,1,0,,,,,,,Adidas
,variable,SNK-2,Adidas Ultraboost,1,0,visible,,"S'inspirant des silhouettes rétro, cette sneaker mélange tradition et modernité.
La rencontre de la matière et du style
Tige en cuir synthétique et textile respirant, pensée pour un confort quotidien.

Ultra-confort
Conçue pour le confort, la semelle intermédiaire absorbe les chocs tout en restant dynamique.

Adhérence antidérapante
Semelle TPU et caoutchouc pour une excellente durabilité et tenue.

Détails du produit
- Bride de maintien à la cheville
- Swoosh/logotype latéral moulé
- Patch logo au talon",taxable,,1,,,,,,,Homme,Adidas,,,,,Couleur,Marron|Vert|Rose,1,0,,Taille,36|37|38|39|40|41|42|43|44|45|46|47,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-36,,1,0,hidden,,,taxable,,1,60,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,36,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-37,,1,0,hidden,,,taxable,,1,66,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,37,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-38,,1,0,hidden,,,taxable,,1,26,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,38,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-39,,1,0,hidden,,,taxable,,1,70,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,39,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-40,,1,0,hidden,,,taxable,,1,62,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,40,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-41,,1,0,hidden,,,taxable,,1,86,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,41,1,0,,,,,,,Adidas
,variation,SNK-2-MARR-42,,1,0,hidden,,,taxable,,1,93,,,,160,,Homme,Adidas,SNK-2,,,,Couleur,Marron,1,0,,Taille,42,1,0,,,,,,,Adidas
