ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Manage stock?,Regular price,Sale price,Categories,Tags,Parent,Position,Meta: total_sales,Meta: annee_creation,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Brands
,variable,SNK-1,Adidas Forum High,1,,visible,,"Inspirée d'un héritage sportif classique, cette paire revisite les codes iconiques.
La rencontre de la matière et du style
Confectionnée en daim et mesh technique, elle offre souplesse et maintien.

Ultra-confort
Amorti renforcé par une mousse technique pour une sensation de douceur à chaque pas.

Adhérence antidérapante
Dessus caoutchouté avec motifs adhérents pour une accroche sûre au quotidien.

Détails du produit
- Fermeture à lacets classique
- Logo de la marque sur la languette
- Doublure textile respirante",taxable,,1,,,,,,,Femme,Adidas,,,,,Couleur,Jaune|Vert|Beige,1,0,,Taille,36|37|38|39|40|41|42|43|44|45,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-36,,1,,hidden,,,taxable,,1,29,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,36,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-37,,1,,hidden,,,taxable,,1,63,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,37,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-38,,1,,hidden,,,taxable,,1,39,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,38,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-39,,1,,hidden,,,taxable,,1,43,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,39,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-40,,1,,hidden,,,taxable,,1,91,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,40,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-41,,1,,hidden,,,taxable,,1,82,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,41,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-42,,1,,hidden,,,taxable,,1,25,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,42,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-43,,1,,hidden,,,taxable,,1,54,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,43,1,0,,,,,,,Adidas
,variation,SNK-1-JAUN-44,,1,,hidden,,,taxable,,1,82,,,,120,,Femme,Adidas,SNK-1,,,,Couleur,Jaune,1,0,,Taille,44,1,0,,,,,,,Adidas
