ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Manage stock?,Regular price,Sale price,Categories,Tags,Parent,Position,Meta: total_sales,Meta: annee_creation,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Brands
,variable,SNK-1,Adidas Forum High,1,0,visible,,"Inspirée d'un héritage sportif classique, cette paire revisite les codes iconiques.
La rencontre de la matière et du style
Confectionnée en daim et mesh technique, elle offre souplesse et maintien.

Ultra-confort
Amorti renforcé par une mousse technique pour une sensation de douceur à chaque pas.

Adhérence antidérapante
Dessus caoutchouté avec motifs adhérents pour une accroche sûre au quotidien.

Détails du produit
- Fermeture à lacets classique
- Logo de la marque sur la languette
- Doublure textile respirante",taxable,,1,,0,0,0,,,Enfant,Adidas,,,,,Couleur,Vert|Orange|Marine,1,1,,Taille,36|37|38|39|40|40.5|41|42|42.5|43|44|44.5|45|45.5|46|47|47.5|48.5|49.5|32|33|33.5|34|35|35.5|36.5|37.5|38.5,1,1,,Genre,Enfant,1,1,,Adidas
,variation,SNK-1-VERT-E-36,,1,0,hidden,,,taxable,,1,97,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,36,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-37,,1,0,hidden,,,taxable,,1,21,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,37,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-38,,1,0,hidden,,,taxable,,1,48,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,38,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-39,,1,0,hidden,,,taxable,,1,92,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,39,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-40,,1,0,hidden,,,taxable,,1,80,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,40,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-40.5,,1,0,hidden,,,taxable,,1,83,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,40.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-41,,1,0,hidden,,,taxable,,1,62,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,41,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-42,,1,0,hidden,,,taxable,,1,84,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,42,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-42.5,,1,0,hidden,,,taxable,,1,26,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,42.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-43,,1,0,hidden,,,taxable,,1,81,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,43,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-44,,1,0,hidden,,,taxable,,1,55,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,44,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-44.5,,1,0,hidden,,,taxable,,1,98,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,44.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-45,,1,0,hidden,,,taxable,,1,94,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,45,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-45.5,,1,0,hidden,,,taxable,,1,22,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,45.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-46,,1,0,hidden,,,taxable,,1,40,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,46,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-47,,1,0,hidden,,,taxable,,1,33,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,47,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-47.5,,1,0,hidden,,,taxable,,1,76,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,47.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-48.5,,1,0,hidden,,,taxable,,1,54,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,48.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-49.5,,1,0,hidden,,,taxable,,1,40,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,49.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-32,,1,0,hidden,,,taxable,,1,22,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,32,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-33,,1,0,hidden,,,taxable,,1,62,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,33,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-33.5,,1,0,hidden,,,taxable,,1,77,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,33.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-34,,1,0,hidden,,,taxable,,1,79,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,34,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-35,,1,0,hidden,,,taxable,,1,84,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,35,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-35.5,,1,0,hidden,,,taxable,,1,44,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,35.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-36.5,,1,0,hidden,,,taxable,,1,32,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,36.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-37.5,,1,0,hidden,,,taxable,,1,98,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,37.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-VERT-E-38.5,,1,0,hidden,,,taxable,,1,37,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Vert,1,1,,Taille,38.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-36,,1,0,hidden,,,taxable,,1,39,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,36,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-37,,1,0,hidden,,,taxable,,1,41,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,37,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-38,,1,0,hidden,,,taxable,,1,82,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,38,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-39,,1,0,hidden,,,taxable,,1,44,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,39,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-40,,1,0,hidden,,,taxable,,1,56,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,40,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-40.5,,1,0,hidden,,,taxable,,1,54,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,40.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-41,,1,0,hidden,,,taxable,,1,82,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,41,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-42,,1,0,hidden,,,taxable,,1,64,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,42,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-42.5,,1,0,hidden,,,taxable,,1,84,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,42.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-43,,1,0,hidden,,,taxable,,1,71,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,43,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-44,,1,0,hidden,,,taxable,,1,26,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,44,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-44.5,,1,0,hidden,,,taxable,,1,72,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,44.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-45,,1,0,hidden,,,taxable,,1,78,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,45,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-45.5,,1,0,hidden,,,taxable,,1,86,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,45.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-46,,1,0,hidden,,,taxable,,1,75,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,46,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-47,,1,0,hidden,,,taxable,,1,48,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,47,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-47.5,,1,0,hidden,,,taxable,,1,79,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,47.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-48.5,,1,0,hidden,,,taxable,,1,82,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,48.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-49.5,,1,0,hidden,,,taxable,,1,44,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,49.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-32,,1,0,hidden,,,taxable,,1,55,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,32,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-33,,1,0,hidden,,,taxable,,1,22,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,33,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-33.5,,1,0,hidden,,,taxable,,1,22,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,33.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-34,,1,0,hidden,,,taxable,,1,26,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,34,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-35,,1,0,hidden,,,taxable,,1,31,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,35,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-35.5,,1,0,hidden,,,taxable,,1,70,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,35.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-36.5,,1,0,hidden,,,taxable,,1,24,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,36.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-37.5,,1,0,hidden,,,taxable,,1,64,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,37.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-ORAN-E-38.5,,1,0,hidden,,,taxable,,1,73,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Orange,1,1,,Taille,38.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-36,,1,0,hidden,,,taxable,,1,38,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,36,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-37,,1,0,hidden,,,taxable,,1,71,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,37,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-38,,1,0,hidden,,,taxable,,1,93,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,38,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-39,,1,0,hidden,,,taxable,,1,48,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,39,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-40,,1,0,hidden,,,taxable,,1,38,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,40,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-40.5,,1,0,hidden,,,taxable,,1,36,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,40.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-41,,1,0,hidden,,,taxable,,1,89,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,41,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-42,,1,0,hidden,,,taxable,,1,37,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,42,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-42.5,,1,0,hidden,,,taxable,,1,91,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,42.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-43,,1,0,hidden,,,taxable,,1,55,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,43,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-44,,1,0,hidden,,,taxable,,1,76,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,44,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-44.5,,1,0,hidden,,,taxable,,1,94,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,44.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-45,,1,0,hidden,,,taxable,,1,59,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,45,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-45.5,,1,0,hidden,,,taxable,,1,26,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,45.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-46,,1,0,hidden,,,taxable,,1,92,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,46,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-47,,1,0,hidden,,,taxable,,1,82,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,47,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-47.5,,1,0,hidden,,,taxable,,1,29,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,47.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
,variation,SNK-1-MARI-E-48.5,,1,0,hidden,,,taxable,,1,33,0,0,1,120,,Enfant,Adidas,,,,,Couleur,Marine,1,1,,Taille,48.5,1,1,,Genre,Enfant,1,1,Enfant,Adidas
