ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Manage stock?,Regular price,Sale price,Categories,Tags,Parent,Position,Meta: total_sales,Meta: annee_creation,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default
,variable,SNK-1,Adidas Forum High,1,0,visible,,"Inspirée d'un héritage sportif classique, cette paire revisite les codes iconiques.
La rencontre de la matière et du style
Confectionnée en daim et mesh technique, elle offre souplesse et maintien.

Ultra-confort
Amorti renforcé par une mousse technique pour une sensation de douceur à chaque pas.

Adhérence antidérapante
Dessus caoutchouté avec motifs adhérents pour une accroche sûre au quotidien.

Détails du produit
- Fermeture à lacets classique
- Logo de la marque sur la languette
- Doublure textile respirante",taxable,,1,300,0,0,0,,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc|Marine|Violet,1,1,,Taille,36|37|38|39|40|40.5|41|42|42.5|43|44|44.5|45|45.5|46|47|47.5|48.5|49.5|32|33|33.5|34|35|35.5|36.5|37.5|38.5,1,1,,Genre,Homme|Femme|Enfant,1,1,
,variation,SNK-1-BLAN-H-36,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,36,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-37,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,37,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-38,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,38,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-39,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,39,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-40,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,40,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-40.5,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,40.5,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-41,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,41,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-42,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,42,1,1,,Genre,Homme,1,1,Homme
,variation,SNK-1-BLAN-H-42.5,,1,0,hidden,,,taxable,,1,,0,0,0,120,,"Homme, Femme, Enfant",,,,,,Couleur,Blanc,1,1,,Taille,42.5,1,1,,Genre,Homme,1,1,Homme
